Sub-Borough Area,income_diversity_2017,income_diversity_2019,racial_diversity_2017,racial_diversity_2019,bachelor_or_higher_2017,bachelor_or_higher_2019,car_free_commute_2017,car_free_commute_2019,mean_travel_time_2017,mean_travel_time_2019,poverty_rate_2017,poverty_rate_2019,no_highschool_2017,no_highschool_2019,crowding_rate_2017,crowding_rate_2019,pop_above_65_2017,pop_above_65_2019,under_18_2017,under_18_2019,homeownership_2017,homeownership_2019,born_in_ny_rate_2017,born_in_ny_rate_2019,foreclosure_rate_2017,foreclosure_rate_2019,median_income_2017,median_income_2019,Community District,ela_grade4_2017,ela_grade4_2019,math_grade4_2017,math_grade4_2019,park_access_2017,subway_access_2017,income_growth,gentrification_label
Middle Village/Ridgewood,4.333333333333335,4.375000000000005,0.593719741939563,0.594611368911668,0.290145173102052,0.319784663730263,0.633906557867481,0.581618758510412,42.5423213014638,43.2013516721008,0.0844256404546697,0.0838102281820607,0.154241036171221,0.137221063115507,0.117065156775169,0.140998824557702,0.117065156775169,0.140998824557702,0.341751806231898,0.29235232331316,0.39732327572488,0.406525617299388,0.528785237360771,0.534048645227403,136,109,85420.84586622972,84250.06987963934,QN 05 - Ridgewood/Maspeth,0.4919181034482758,0.550028918449971,0.4862433862433862,0.5824301197946378,0.5437294604049613,0.3966167406218291,-0.013705975101485546,Higher-Income
Pelham Parkway,4.651162790697687,4.11895910780668,0.701174803157773,0.682983037352647,0.246091738825181,0.275206152240736,0.626946107784431,0.631417860441531,42.7137338226772,47.1669051198001,0.163771097811889,0.146037826191046,0.20067868008425,0.190998491430646,0.16983582536881,0.15453637489513,0.16983582536881,0.15453637489513,0.336304793495036,0.293567120839848,0.331997327989312,0.294281885190976,0.523502281128243,0.507282969118293,147,96,57581.1856249069,67375.97817115083,BX 11 - Morris Park/Bronxdale,0.3715415019762846,0.3657331136738056,0.3353705118411,0.3738920225624496,0.7439792570022267,0.8580071487167468,0.17010404422807088,Gentrifying
Williamsbridge/Baychester,5.0450450450450575,5.699999999999988,0.492371159608516,0.554722145485113,0.230061712573197,0.245058552599343,0.545924930263481,0.510952091420732,46.5974360086141,47.1488704924933,0.146057577023077,0.171227898572874,0.197844989057355,0.186966534372091,0.134218906861865,0.152747974894051,0.134218906861865,0.152747974894051,0.355518387827116,0.351293360352843,0.405286882738083,0.391484880994954,0.481892946659486,0.48988117590258,422,296,70478.13367346939,69718.92676262924,BX 12 - Williamsbridge/Baychester,0.3062080536912752,0.3549959382615759,0.2164179104477611,0.3306386418755052,0.458160410991462,0.7472987549591386,-0.010772233475387022,Higher-Income
Williamsburg/Greenpoint,7.714746543778824,6.8551236749116535,0.530685051954885,0.556202681888088,0.534072942388659,0.5251465288143,0.844122801324073,0.858340824292874,34.6398390342052,34.4988855914985,0.23333487319259,0.201085442072159,0.15028157254268,0.154556044996178,0.115307693319825,0.102598672905597,0.115307693319825,0.102598672905597,0.194611850813673,0.206981538604622,0.157502141244258,0.177390603444267,0.467276746358601,0.473755518544955,81,58,91865.12283628782,113771.916682245,BK 01 - Greenpoint/Williamsburg,0.425629290617849,0.5464547677261614,0.4110218140068886,0.5784313725490197,0.8904099622897745,0.9222878345115252,0.2384669303169292,Higher-Income
Brooklyn Heights/Fort Greene,6.0937499999999964,7.162534435261715,0.680406849067173,0.660033878193838,0.664212802333182,0.686246504797731,0.908788711849192,0.881352364110985,35.1498681552962,34.7558699282837,0.14867649999231,0.138265986661436,0.102861165585558,0.0928265373860916,0.107291574377603,0.118286262805034,0.107291574377603,0.118286262805034,0.214349383608873,0.226759125049414,0.330294825005466,0.2907003557781,0.488777649803609,0.456271654192852,79,69,110996.49514375094,129123.78635625026,BK 02 - Fort Greene/Brooklyn Heights,0.5305466237942122,0.6335403726708074,0.4512,0.560126582278481,0.9736579275905118,0.9435549313358302,0.16331408653059507,Higher-Income
Bedford Stuyvesant,6.842105263157914,5.478260869565224,0.652978881666028,0.666382730243815,0.358052236438617,0.386970014509109,0.7818510087134,0.829960183307039,41.9705628385274,41.4413642851777,0.243764812097957,0.230273067053442,0.16289520989743,0.146642753506368,0.103304301294824,0.10328745859493,0.103304301294824,0.10328745859493,0.291705587433517,0.258777864824443,0.238023524029205,0.184085891318282,0.577516951002274,0.574834033234931,284,209,62244.7124460003,70827.89156037445,BK 03 - Bedford Stuyvesant,0.318118948824343,0.4161931818181818,0.2377049180327868,0.3823109843081312,0.9419384379061798,0.8767133404230179,0.13789410822357626,Gentrifying
Bushwick,6.999999999999982,7.307692307692317,0.631497460039805,0.614855199204745,0.321756353088878,0.339075150790632,0.8224089389407,0.835255807221941,41.2638571177195,42.1458860988494,0.271180865896822,0.206872071560415,0.247629767522404,0.223615714829104,0.0741489528311289,0.0970521364170913,0.0741489528311289,0.0970521364170913,0.30253683858004,0.239166836838881,0.128725720026792,0.146395752501532,0.447178837364922,0.423183065464524,174,118,60744.56535081186,76718.83295465984,BK 04 - Bushwick,0.2803532008830022,0.314359637774903,0.277599142550911,0.3428927680798005,0.7652561024409764,0.9793167266906764,0.26297443255365194,Gentrifying
East New York/Starrett City,5.746666666666659,4.969500000000014,0.572716748957276,0.567733804138834,0.124794102925786,0.132795834675629,0.766028434879317,0.689063374679591,42.6015960804352,48.3123655755576,0.246756509821836,0.2334703589102,0.156463575556263,0.159099022228414,0.111174073927161,0.12958835469081,0.111174073927161,0.12958835469081,0.373037439613527,0.408880768925252,0.219437734836286,0.259925331638732,0.584452969609738,0.595256925740137,512,331,44112.23904364666,53238.413374843614,BK 05 - East New York/Starrett City,0.2989934872705743,0.4008236101578586,0.2449683726279471,0.3862115127175368,0.8535756965846909,0.7123246745078307,0.20688531185567574,Gentrifying
Park Slope/Carroll Gardens,4.93096646942801,4.929999999999992,0.553681673650331,0.515184927469541,0.73353350040191,0.777694226614626,0.863443680208488,0.873684036830468,39.1622544410906,39.9469489455794,0.0778846153846154,0.075755831968483,0.0629935221523476,0.0537592055477972,0.0987100826958325,0.106416000982086,0.0987100826958325,0.106416000982086,0.322347162983068,0.345744453468986,0.428072896471501,0.395353310819476,0.49195845416448,0.485562463281394,31,37,161651.34214211235,179714.80673271883,BK 06 - Park Slope/Carroll Gardens,0.6945373467112598,0.7384453781512605,0.6304824561403509,0.7036269430051814,0.8547796835723791,0.9103393464438858,0.11174336291452731,Higher-Income
Sunset Park,6.250000000000006,5.783582089552249,0.68142290736549,0.69450469216461,0.293130366900859,0.306467998645445,0.798355846315558,0.768682737117377,42.8469117208704,43.5634659871928,0.221473507817714,0.181462878668969,0.374887407674293,0.309603137323444,0.107377435357371,0.12197303930939,0.107377435357371,0.12197303930939,0.409016168813374,0.369936009307737,0.298689138576779,0.307155322862129,0.416795998115456,0.401413027687085,63,54,68096.60519141964,78566.33589537107,BK 07 - Sunset Park,0.4305126621371217,0.5169210351692104,0.4538322269161134,0.5270358306188925,0.7753412615076555,0.943932993089302,0.15374820337256168,Higher-Income
